node_index,latitude,longitude,elevation,temperature_2m,relative_humidity_2m,apparent_temperature,wind_speed_10m,wind_direction_10m,wind_gusts_10m,precipitation,rain,cloud_cover,pressure_msl,surface_pressure
0,30.625,76.75,311,29.39999962,72,35.05466461,2.276839733,288.4350281,15.84000015,0,0,100,998.4000244,964.0604248
1,30.75,76.75,314,29.70000076,65,34.40672302,3.054701328,135.0001068,11.15999889,0,0,100,999,964.348938
2,30.75,76.75,313,29.70000076,65,34.40672302,3.054701328,135.0001068,11.15999889,0,0,100,999,964.4569092
3,30.75,76.75,319,29.70000076,65,34.40672302,3.054701328,135.0001068,11.15999889,0,0,100,999,963.80896
4,30.75,76.75,318,29.70000076,65,34.40672302,3.054701328,135.0001068,11.15999889,0,0,100,999,963.9169312
5,30.75,76.75,319,29.70000076,65,34.40672302,3.054701328,135.0001068,11.15999889,0,0,100,999,963.80896
6,30.75,76.75,318,29.70000076,65,34.40672302,3.054701328,135.0001068,11.15999889,0,0,100,999,963.9169312
7,30.75,76.75,319,29.70000076,65,34.40672302,3.054701328,135.0001068,11.15999889,0,0,100,999,963.80896
8,30.75,76.75,318,29.70000076,65,34.40672302,3.054701328,135.0001068,11.15999889,0,0,100,999,963.9169312
9,30.75,76.75,315,29.70000076,65,34.40672302,3.054701328,135.0001068,11.15999889,0,0,100,999,964.2409668
10,30.75,76.75,319,29.70000076,65,34.40672302,3.054701328,135.0001068,11.15999889,0,0,100,999,963.80896
11,30.75,76.75,317,29.70000076,65,34.40672302,3.054701328,135.0001068,11.15999889,0,0,100,999,964.0247803
12,30.75,76.75,317,29.70000076,65,34.40672302,3.054701328,135.0001068,11.15999889,0,0,100,999,964.0247803
13,30.75,76.75,316,29.70000076,65,34.40672302,3.054701328,135.0001068,11.15999889,0,0,100,999,964.1326904
14,30.75,76.75,318,29.70000076,65,34.40672302,3.054701328,135.0001068,11.15999889,0,0,100,999,963.9169312
15,30.75,76.75,318,29.70000076,65,34.40672302,3.054701328,135.0001068,11.15999889,0,0,100,999,963.9169312
16,30.75,76.75,318,29.70000076,65,34.40672302,3.054701328,135.0001068,11.15999889,0,0,100,999,963.9169312
17,30.75,76.75,316,29.70000076,65,34.40672302,3.054701328,135.0001068,11.15999889,0,0,100,999,964.1326904
18,30.75,76.75,319,29.70000076,65,34.40672302,3.054701328,135.0001068,11.15999889,0,0,100,999,963.80896
19,30.75,76.75,319,29.70000076,65,34.40672302,3.054701328,135.0001068,11.15999889,0,0,100,999,963.80896
20,30.75,76.75,318,29.70000076,65,34.40672302,3.054701328,135.0001068,11.15999889,0,0,100,999,963.9169312
21,30.75,76.75,315,29.70000076,65,34.40672302,3.054701328,135.0001068,11.15999889,0,0,100,999,964.2409668
22,30.75,76.75,315,29.70000076,65,34.40672302,3.054701328,135.0001068,11.15999889,0,0,100,999,964.2409668
23,30.75,76.75,319,29.70000076,65,34.40672302,3.054701328,135.0001068,11.15999889,0,0,100,999,963.80896
24,30.75,76.75,318,29.70000076,65,34.40672302,3.054701328,135.0001068,11.15999889,0,0,100,999,963.9169312
25,30.75,76.75,318,29.70000076,65,34.40672302,3.054701328,135.0001068,11.15999889,0,0,100,999,963.9169312
26,30.75,76.75,315,29.70000076,65,34.40672302,3.054701328,135.0001068,11.15999889,0,0,100,999,964.2409668
27,30.75,76.75,318,29.70000076,65,34.40672302,3.054701328,135.0001068,11.15999889,0,0,100,999,963.9169312
28,30.75,76.75,319,29.70000076,65,34.40672302,3.054701328,135.0001068,11.15999889,0,0,100,999,963.80896
29,30.75,76.75,315,29.70000076,65,34.40672302,3.054701328,135.0001068,11.15999889,0,0,100,999,964.2409668
30,30.75,76.75,319,29.70000076,65,34.40672302,3.054701328,135.0001068,11.15999889,0,0,100,999,963.80896
31,30.75,76.75,315,29.70000076,65,34.40672302,3.054701328,135.0001068,11.15999889,0,0,100,999,964.2409668
32,30.75,76.75,319,29.70000076,65,34.40672302,3.054701328,135.0001068,11.15999889,0,0,100,999,963.80896
33,30.75,76.75,317,29.70000076,65,34.40672302,3.054701328,135.0001068,11.15999889,0,0,100,999,964.0247803
34,30.75,76.75,318,29.70000076,65,34.40672302,3.054701328,135.0001068,11.15999889,0,0,100,999,963.9169312
35,30.75,76.75,318,29.70000076,65,34.40672302,3.054701328,135.0001068,11.15999889,0,0,100,999,963.9169312
36,30.75,76.75,318,29.70000076,65,34.40672302,3.054701328,135.0001068,11.15999889,0,0,100,999,963.9169312
37,30.75,76.75,317,29.70000076,65,34.40672302,3.054701328,135.0001068,11.15999889,0,0,100,999,964.0247803
38,30.75,76.75,318,29.70000076,65,34.40672302,3.054701328,135.0001068,11.15999889,0,0,100,999,963.9169312
